kodOrganizacie,nazovOrganizacie,kodNadurovne,kategoria,2015,2016,2017,2018,2019,2020,2021
501808,Nový Život,800201,DLH,,,0.0,0.0,0.0,0.0,0.0
501816,Ohrady,800201,DLH,27154.79,41801.95,7998.0,11089.11,1806.0,67401.18,62749.98
501824,Okoč,800201,DLH,46960.0,173315.19,120083.86,243956.95,238328.0,411183.08,354089.08
501832,Oľdza,800201,DLH,,,0.0,0.0,0.0,6247.0,6247.0
501859,Orechová Potôň,800201,DLH,115058.17,90451.88,65410.06,216956.07,192851.36,288891.12,247328.2
501867,Padáň,800201,DLH,94721.2,88628.91,63790.88,63097.92,29790.53,74255.37,77435.15
501875,Sap,800201,DLH,28153.0,4377.0,0.0,59426.59,65332.0,,62288.43
501883,Pataš,800201,DLH,22422.78,26669.25,19630.41,12591.57,5787.42,38172.58,27614.57
501891,Rohovce,800201,DLH,,,0.0,0.0,142500.0,134592.0,104592.0
501905,Šamorín,800201,DLH,68600.64,66144.64,68609.54,102386.21,169670.96,1028243.8,1516802.78
501913,Štvrtok na Ostrove,800201,DLH,93214.51,71233.94,49106.59,174327.2,136586.09,145178.0,129530.0
501921,Topoľníky,800201,DLH,21663.82,9849.46,152306.22,478657.7,597009.68,727038.86,524270.0
501930,Ňárad,800201,DLH,,,0.0,0.0,0.0,18282.0,15522.0
501956,Trnávka,800201,DLH,,1732.59,0.0,-0.01,-0.01,0.0,0.0
501964,Trstená na Ostrove,800201,DLH,20724.6,17423.64,31144.61,48594.45,61494.45,68494.45,61294.45
501972,Veľká Paka,800201,DLH,,,0.0,0.0,0.0,0.0,0.0
501981,Veľké Blahovo,800201,DLH,243323.69,62018.78,47957.66,33896.54,23694.4,44131.4,235971.0
501999,Vojka nad Dunajom,800201,DLH,,,0.0,0.0,0.0,0.0,35046.0
502006,Vrakúň,800201,DLH,53324.0,33320.0,13316.0,17798.39,0.0,47000.0,47000.0
502014,Vydrany,800201,DLH,333353.0,307589.0,284575.0,259087.0,233599.0,208111.0,292710.67
502022,Zlaté Klasy,800201,DLH,14895.44,,0.0,0.0,0.0,1598169.51,1769193.51
503461,Bodíky,800201,DLH,128111.68,54821.52,38531.36,25241.2,21951.04,18660.88,18432.72
555517,Bellova Ves,800201,DLH,,,0.0,0.0,0.0,3725.0,3731.04
555541,Dunajský Klátov,800201,DLH,69222.69,286501.04,235430.12,217105.47,209110.26,263430.92,374574.6
555568,Horné Mýto,800201,DLH,55510.41,48094.23,40772.88,157676.68,155133.48,131881.85,134497.1
555576,Trhová Hradská,800201,DLH,80000.0,332498.0,297494.0,262490.0,227486.0,0.0,238842.0
555606,Macov,800201,DLH,104000.0,,0.0,0.0,0.0,0.0,0.0
555649,Mad,800201,DLH,,115840.0,110848.0,105856.0,100864.0,161470.96,177900.96
555665,Malé Dvorníky,800201,DLH,,,0.0,5535.86,0.0,,
555673,Veľké Dvorníky,800201,DLH,0.0,47950.27,36610.27,38696.46,15841.64,53280.11,48606.11
555720,Povoda,800201,DLH,210126.15,198132.79,186132.79,174132.79,162132.79,149572.79,136612.79
555746,Vieska,800201,DLH,557.14,,49542.57,39198.57,28854.57,18511.5,16072.5
580554,Čenkovce,800201,DLH,,,0.0,0.0,0.0,21241.0,21241.0
580597,Kyselica,800201,DLH,,,0.0,0.0,0.0,0.0,2151.0
582522,Potônske Lúky,800201,DLH,34434.65,32668.24,32668.24,60252.13,37859.61,43213.61,43213.61
503665,Galanta,800202,DLH,104403.55,84519.55,64916.32,931109.39,911225.39,1253437.68,0.0
503673,Abrahám,800202,DLH,293190.07,273937.9,253520.76,232874.0,211992.94,193429.85,178247.31
503690,Čierna Voda,800202,DLH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503703,Čierny Brod,800202,DLH,,3500.03,0.0,-24793.56,-15092.98,-288543.58,0.0
503746,Dolné Saliby,800202,DLH,72890.19,172159.47,149821.0,220823.75,216034.19,220888.8,193212.9
503754,Dolný Chotár,800202,DLH,,137031.37,137031.37,118530.37,149230.37,153805.37,153805.37
503762,Gáň,800202,DLH,,,0.0,0.0,0.0,14845.0,14845.0
503771,Horné Saliby,800202,DLH,235531.9,154559.23,128764.23,332482.25,443248.87,372306.91,315759.17
503789,Hoste,800202,DLH,,,0.0,0.0,0.0,0.0,0.0
503827,Jánovce,800202,DLH,,,0.0,0.0,0.0,10585.0,10585.0
503835,Jelka,800202,DLH,149543.82,79229.82,8915.82,196915.89,131515.89,76915.89,84603.56
503843,Kajal,800202,DLH,287596.64,70217.01,163433.56,221495.98,254892.48,222564.48,299940.29
503860,Košúty,800202,DLH,47733.33,5300.14,36538.8,135840.22,256136.53,,229542.53
503878,Kráľov Brod,800202,DLH,161438.0,149618.0,137798.0,125978.0,153818.87,122133.12,162526.89
503924,Mostová,800202,DLH,372876.54,164992.35,151765.95,138539.55,122900.0,114500.0,106100.0
503959,Pata,800202,DLH,149943.36,129264.26,110721.46,102619.9,520000.0,522496.0,467488.0
503967,Pusté Sady,800202,DLH,,,0.0,0.0,0.0,0.0,0.0
503975,Pusté Úľany,800202,DLH,9707.96,,252500.0,234500.0,216500.0,903775.08,849680.0
